B1,B2,B3,B4,B5,R1,R2,R3,R4,R5,winner
777,163,8,222,412,516,78,61,119,888,1
516,131,91,221,350,122,48,142,119,555,1
24,200,18,61,117,86,107,103,221,432,1
517,2,86,119,267,114,131,163,157,16,0
122,421,7,221,497,113,245,777,119,26,1
10,104,91,30,555,266,64,245,221,16,0
84,64,163,222,888,27,76,777,119,40,1
79,62,163,360,154,516,48,50,221,117,1
24,200,163,523,412,79,234,711,15,117,0
98,91,39,30,89,80,76,43,96,117,0
50,154,157,222,89,14,76,517,221,43,0
86,56,163,895,32,122,78,142,429,43,1
39,64,142,222,117,58,62,245,15,235,0
79,104,245,157,117,24,62,103,523,43,1
268,154,29,221,40,85,64,266,15,16,0
266,876,238,15,37,78,64,84,236,267,1
266,62,69,360,267,268,64,84,119,427,1
266,113,55,236,267,122,163,119,517,111,0
98,104,711,15,117,27,76,91,145,111,0
48,163,200,202,80,887,120,360,15,526,1
86,141,147,119,37,114,64,84,30,555,1
887,121,142,119,12,114,203,711,51,50,0
122,91,8,15,555,60,113,157,895,235,0
80,104,268,145,37,420,11,103,15,44,1
266,77,84,236,267,92,246,268,15,888,0
23,25,157,18,888,113,234,163,236,267,0
54,60,81,236,267,58,254,103,15,43,0
113,2,157,30,40,69,163,254,221,32,0
92,20,268,236,267,122,78,101,221,22,0
80,246,131,15,497,266,104,68,221,888,1
60,104,517,523,117,84,234,8,221,43,1
122,91,163,15,43,80,234,68,29,350,1
2,104,201,15,101,39,234,161,18,89,1
266,254,517,429,143,223,246,523,516,89,1
875,62,7,202,432,58,234,163,15,40,0
114,141,517,523,44,266,76,39,29,117,1
266,141,517,360,12,875,555,61,145,9,1
2,200,84,18,117,114,62,163,15,497,0
98,234,84,110,111,24,62,517,67,235,0
83,62,50,15,350,114,104,7,96,43,1
74,104,103,29,555,266,60,7,235,75,1
114,91,84,119,32,113,76,777,360,888,1
516,76,246,202,235,517,72,39,69,497,0
74,62,711,15,89,266,48,110,202,111,0
92,110,141,360,888,84,62,43,29,26,0
58,76,81,157,555,2,234,163,119,43,0
68,200,142,29,117,2,104,15,145,427,0
126,120,43,360,267,58,200,110,523,40,1
875,104,127,221,117,777,876,26,157,12,0
2,104,163,15,12,24,421,517,236,267,0
777,120,26,81,35,24,59,84,236,267,1
114,62,79,360,45,14,876,8,81,432,1
24,154,26,29,235,39,64,517,221,40,0
92,154,43,24,235,114,268,59,360,79,0
85,121,523,8,43,2,154,517,51,99,1
126,72,517,51,99,79,64,55,429,888,0
164,20,7,222,117,266,203,112,221,99,0
163,234,58,119,16,122,78,101,51,99,1
58,62,103,202,32,266,107,268,51,99,1
79,876,157,112,235,24,203,163,202,888,0
113,203,517,236,99,266,48,50,222,427,0
58,79,518,29,117,85,11,163,15,16,1
114,876,268,15,22,79,141,777,29,117,1
36,131,157,145,555,85,104,103,429,25,0
23,254,103,81,40,150,141,166,51,99,1
98,427,45,51,26,777,203,19,21,99,1
41,203,45,51,99,14,234,115,429,888,0
6,45,254,221,40,3,35,86,360,32,0
36,131,234,221,99,17,62,777,81,30,1
79,64,111,145,99,2,203,268,29,30,0
150,234,3,81,99,98,104,79,145,32,0
164,254,142,429,57,80,78,711,29,117,1
78,107,517,119,555,516,120,711,51,99,1
164,120,101,81,147,876,62,34,18,117,0
777,113,268,15,888,84,62,517,29,235,1
98,62,147,51,427,102,20,432,29,101,0
122,76,246,221,43,777,62,103,429,53,1
79,141,245,895,497,92,234,103,29,117,0
432,141,131,429,888,80,48,268,18,53,0
27,78,69,221,117,150,104,8,67,43,0
79,104,84,145,267,240,48,45,81,43,1
98,112,421,429,555,266,48,99,50,37,1
113,234,777,221,43,98,106,74,81,99,1
85,48,103,81,43,106,80,111,429,55,0
98,62,157,895,37,150,234,54,29,117,0
1,2,517,15,555,98,131,91,222,117,0
23,200,38,29,350,164,64,134,15,117,1
777,62,61,145,497,13,200,26,15,117,0
19,62,517,429,44,80,78,112,15,235,1
41,43,104,429,111,166,48,268,221,117,1
420,131,84,523,412,85,64,8,29,40,1
516,48,517,523,89,24,200,61,236,267,1
82,131,238,157,497,85,62,202,8,350,0
516,59,777,30,875,114,48,517,523,427,1
17,14,421,69,53,429,91,55,202,412,0
2,62,127,498,427,7,200,245,15,117,0
429,62,84,221,497,85,203,147,29,22,0
429,48,163,523,16,43,78,777,15,432,0
92,131,777,221,350,164,84,35,523,40,0
39,141,38,523,26,114,32,517,30,555,0
48,106,268,21,26,113,238,112,202,111,1
266,234,43,895,53,39,141,61,30,111,1
104,20,238,50,888,85,141,517,895,235,0
7,59,517,29,26,86,246,163,221,350,0
7,421,238,81,43,113,200,517,157,79,1
7,78,112,15,111,85,56,127,523,37,0
85,200,246,221,350,64,20,34,222,117,0
92,5,103,81,888,7,64,517,15,350,1
150,91,84,161,235,429,254,103,202,26,0
13,254,103,21,26,85,122,517,523,235,1
122,113,112,202,497,85,200,8,18,555,1
164,163,58,15,40,122,76,69,221,111,1
85,64,43,81,26,105,254,517,119,40,0
150,163,99,15,223,122,76,517,29,12,1
126,77,30,202,432,114,200,103,21,142,1
777,56,268,895,350,114,30,166,202,432,0
516,76,58,360,89,266,91,163,18,3,1
875,141,163,110,43,92,876,157,119,32,1
41,104,268,15,555,92,121,30,81,43,1
114,113,84,29,30,98,91,523,101,117,0
79,48,84,29,888,266,234,127,895,117,0
58,48,84,157,26,98,203,517,18,526,0
517,64,266,236,350,24,234,84,202,267,1
268,56,117,29,40,126,154,157,145,142,0
58,104,268,15,117,150,11,8,147,111,1
85,62,777,202,43,27,64,84,51,267,0
126,64,103,895,12,266,200,517,15,555,0
266,234,79,429,59,126,254,268,51,99,1
79,203,268,221,350,24,30,43,360,40,1
14,9,39,96,117,86,62,147,51,43,1
122,121,268,29,888,11,421,245,15,117,0
122,517,142,523,40,58,113,134,222,412,0
24,200,517,81,43,58,77,103,15,111,1
79,64,7,81,43,150,421,103,29,432,0
266,131,238,202,40,58,163,142,157,555,1
266,20,163,15,497,2,72,85,429,888,1
516,121,147,360,555,79,62,517,67,40,0
2,9,166,18,497,113,48,55,29,555,0
26,141,268,67,497,234,154,103,221,43,0
2,56,103,81,235,80,20,134,145,555,0
85,62,517,15,555,92,131,157,147,235,0
58,200,7,360,555,85,141,777,145,89,0
420,200,42,202,497,58,427,103,22,111,0
114,62,268,360,111,266,77,517,221,117,1
516,254,268,236,350,122,131,157,202,555,0
2,254,268,29,555,62,113,103,523,25,0
80,76,79,81,99,27,254,18,429,555,0
2,91,7,429,111,777,154,163,221,555,0
122,254,517,99,555,85,77,103,523,44,0
39,62,157,147,111,114,234,26,145,555,1
84,2,266,119,25,126,254,7,523,497,1
2,34,67,429,555,54,103,254,895,497,1
24,131,517,18,555,98,200,157,45,497,0
122,517,112,523,111,98,254,103,429,555,1
240,76,80,235,23,54,122,517,29,432,0
58,200,163,236,267,266,254,7,15,40,0
24,141,3,29,43,240,254,7,360,32,0
117,113,84,15,24,58,76,777,429,32,0
58,64,268,15,89,98,59,517,222,32,1
84,131,58,29,16,141,38,98,145,12,1
58,80,103,15,40,166,131,54,236,267,0
875,62,517,236,267,266,48,55,15,43,0
113,59,142,15,555,2,104,3,895,37,1
58,113,30,895,235,23,163,103,523,40,0
266,77,711,236,43,58,60,238,15,40,1
41,121,103,51,43,39,141,268,22,427,1
80,48,245,429,427,58,141,268,236,267,0
887,200,246,236,267,777,78,268,429,555,1
2,154,268,202,117,887,234,41,236,267,0
2,163,85,51,111,254,238,112,429,53,0
122,254,84,29,497,113,200,517,15,37,1
80,163,777,15,555,58,99,60,29,117,1
79,68,58,29,117,887,113,104,21,22,1
68,200,84,18,111,114,131,38,29,555,0
24,234,43,429,16,54,141,517,29,350,0
58,234,61,18,89,164,254,43,235,67,1
2,141,103,81,43,150,78,18,45,89,0
19,234,163,523,16,58,131,103,895,432,1
517,234,166,523,555,516,80,101,50,16,0
114,234,112,221,40,887,28,777,360,111,0
92,104,238,429,68,80,517,236,50,86,1
23,154,103,523,888,24,234,163,429,555,0
113,76,27,29,37,23,141,112,523,117,0
23,44,163,236,22,86,517,154,221,40,1
23,245,3,30,497,2,234,55,81,43,1
98,254,517,429,432,887,78,84,221,888,1
19,234,103,15,40,122,163,777,429,888,1
39,59,50,429,12,54,245,157,360,497,1
85,234,7,221,888,2,20,518,29,43,0
516,876,166,67,43,113,234,7,236,267,1
86,131,13,221,888,114,203,517,429,89,1
39,107,516,517,235,85,141,238,81,350,1
86,234,711,21,432,150,200,163,221,43,0
122,163,50,29,117,24,234,3,157,40,1
98,62,147,51,427,102,20,432,29,101,0
164,200,268,119,89,266,246,38,110,432,1
2,77,711,29,555,76,17,147,145,111,0
36,80,90,69,53,17,238,126,112,432,1
875,80,245,15,117,39,234,432,202,103,1
7,141,44,895,555,126,59,711,67,432,1
122,64,85,429,111,83,91,110,29,432,1
266,200,517,51,427,2,48,103,15,432,1
516,234,711,15,350,164,421,103,523,432,0
133,20,50,29,432,82,254,39,895,427,0
98,91,711,119,267,74,76,18,236,432,1
58,131,157,29,37,266,876,39,21,432,1
92,64,127,523,117,84,104,7,429,432,1
77,234,134,360,161,86,56,268,202,50,1
114,91,711,429,111,58,246,112,21,432,1
266,234,115,15,101,41,200,3,81,432,1
266,62,84,15,117,24,59,61,429,235,0
113,59,517,67,432,122,876,64,145,427,1
2,80,432,67,45,266,234,60,221,350,1
58,203,127,29,117,79,64,55,15,432,1
74,104,103,29,555,266,60,7,235,75,1
777,59,268,429,111,266,200,163,18,53,1
266,141,110,67,111,86,254,268,29,350,0
266,78,268,221,267,74,59,112,29,117,1
98,62,69,15,117,48,131,236,157,267,1
79,2,517,429,555,44,121,101,895,117,1
777,120,26,81,35,24,59,84,236,267,1
266,203,3,15,117,39,121,268,221,432,1
150,254,112,29,497,164,121,103,498,99,1
85,121,523,8,43,2,154,517,51,99,1
350,59,103,221,412,48,200,517,202,89,0
516,254,84,81,43,58,59,517,222,117,1
517,62,115,895,526,85,200,43,523,16,1
266,131,141,429,888,79,59,516,81,44,0
164,121,112,15,223,114,48,268,119,53,0
75,102,157,145,111,79,113,58,110,235,0
23,254,55,145,12,2,60,18,157,235,1
59,150,268,15,117,266,80,16,221,110,0
113,121,163,15,350,68,64,268,429,12,1
516,121,142,15,235,26,141,7,29,117,0
150,254,61,36,432,777,78,517,145,142,1
266,20,163,15,497,2,72,85,429,888,1
516,246,103,119,412,58,200,2,69,43,1
79,78,145,110,89,68,48,517,360,497,1
113,104,7,15,432,777,121,3,29,888,1
41,235,268,18,254,39,25,101,29,888,0
113,64,103,96,888,126,48,517,236,3,1
516,200,50,96,40,777,77,7,51,432,1
122,77,4,15,117,24,59,112,29,43,1
126,76,517,15,350,266,234,45,429,12,0
18,30,75,21,497,67,200,84,74,43,0
86,59,103,15,432,24,77,147,29,40,1
122,60,777,29,888,85,48,517,895,432,1
117,234,3,29,497,86,76,103,119,555,0
74,25,246,15,412,154,62,103,221,432,1
777,76,517,21,497,79,163,157,119,111,0
122,876,777,110,117,85,9,498,43,497,1
266,60,38,895,888,777,234,517,221,432,0
150,62,112,895,497,113,78,517,360,111,1
24,76,245,145,111,67,78,50,96,497,1
84,200,30,523,888,268,121,82,360,111,0
114,254,268,18,111,77,200,16,81,117,1
166,113,163,51,43,266,200,103,15,432,0
777,254,103,221,555,27,234,7,145,111,1
113,234,163,29,888,246,266,64,30,117,0
58,48,147,157,427,266,64,103,221,117,0
516,203,84,15,40,69,64,777,221,117,1
266,163,147,51,99,84,200,517,523,412,1
266,30,41,15,43,64,234,142,221,111,1
84,245,234,18,526,266,200,75,235,50,0
85,62,112,235,122,23,421,103,895,53,1
14,254,134,145,111,74,200,84,18,518,1
2,254,163,360,32,103,78,84,29,235,0
39,20,112,429,888,150,72,61,119,497,1
39,421,101,29,117,266,141,26,223,235,0
266,245,268,523,412,517,62,777,15,497,0
122,113,875,236,37,114,131,157,67,117,0
266,234,7,145,555,17,103,62,498,143,0
98,62,163,111,360,58,517,27,67,117,0
84,48,147,29,37,114,68,50,157,235,1
79,203,103,523,117,58,876,157,895,432,1
6,141,84,15,43,114,104,103,119,432,1
43,106,711,360,89,92,48,517,81,432,1
114,60,18,202,432,24,254,103,29,888,0
24,163,50,15,117,113,62,84,145,412,0
98,876,58,29,117,85,106,777,221,432,1
266,254,517,202,267,114,234,163,51,432,0
19,203,55,81,432,67,876,39,29,117,1
69,80,517,29,432,14,59,105,360,888,0
113,254,55,157,12,360,203,517,54,412,0
164,163,268,202,497,24,91,517,29,432,1
875,64,268,202,432,62,254,84,81,497,0
516,254,112,21,432,10,35,96,777,412,0
266,64,517,15,432,150,131,142,236,267,0
58,79,3,221,497,164,131,157,15,432,1
114,11,18,147,432,6,59,107,517,497,0
41,72,43,15,432,24,254,8,221,26,0
122,72,268,145,32,58,2,517,67,432,1
266,876,103,51,26,10,62,777,81,432,1
114,203,50,15,412,266,64,34,429,111,1
85,200,91,29,497,84,104,429,112,888,0
114,48,517,18,497,58,113,84,360,89,0
516,203,27,96,16,266,876,18,222,117,1
58,64,517,29,432,86,141,55,15,350,1
113,234,517,15,43,266,107,103,157,235,1
126,5,517,51,99,39,48,50,15,43,1
79,60,777,15,350,266,234,50,22,235,0
516,876,104,523,16,80,84,234,145,117,1
80,62,69,157,44,39,64,134,119,1,0
86,131,18,236,267,58,5,103,51,99,1
50,48,166,221,350,54,421,711,429,134,0
24,107,68,29,516,92,163,238,18,111,0
27,104,142,429,888,2,246,30,202,43,1
85,234,517,360,427,80,64,69,81,53,1
86,48,7,429,888,58,60,238,18,235,0
23,25,157,18,888,113,234,163,236,267,0
107,268,234,81,350,92,104,517,236,267,0
266,234,55,498,43,79,238,517,119,40,1
98,234,7,29,432,266,203,84,15,43,0
266,421,61,523,117,62,98,112,15,888,0
150,154,74,222,40,777,113,103,29,235,0
150,131,517,236,37,14,104,3,81,267,0
516,48,34,18,888,150,254,112,429,22,0
14,48,268,74,40,92,200,517,236,888,1
92,121,34,145,89,67,246,147,18,117,1
114,77,39,147,37,24,35,517,29,117,1
106,48,517,236,267,266,876,3,15,117,1
58,163,50,15,43,150,238,3,221,350,1
266,200,103,15,117,113,48,142,119,32,0
79,64,127,15,22,150,238,163,51,99,1
92,200,517,29,22,41,5,112,895,223,0
2,62,245,147,40,58,76,777,15,888,0
79,25,497,895,777,122,48,7,119,267,0
516,200,245,119,201,164,48,103,21,89,0
114,113,42,81,43,254,888,103,360,24,0
39,254,84,236,267,92,104,517,202,497,0
84,20,517,21,43,887,113,238,51,117,1
58,876,517,15,412,432,76,157,29,526,0
266,91,517,29,117,2,203,74,15,497,0
44,28,58,51,427,102,141,517,523,888,0
92,200,163,360,12,79,72,157,147,235,0
266,62,163,523,427,86,59,84,236,267,1
39,78,268,360,555,777,91,161,222,163,0
266,254,711,15,117,58,234,7,29,12,0
79,104,238,15,888,150,60,163,51,43,0
58,246,163,429,555,114,131,39,29,888,0
17,141,163,14,235,2,77,711,895,117,0
114,76,163,51,99,23,64,68,202,555,0
2,107,517,110,117,24,163,18,523,223,0
17,48,163,202,235,777,131,157,21,111,0
75,238,61,429,888,777,254,163,119,32,1
84,246,43,29,117,114,203,163,895,350,0
267,64,163,236,516,24,48,166,30,111,0
240,427,517,15,555,68,141,163,895,117,0
777,141,163,15,427,516,107,112,222,26,1
86,254,163,523,497,887,131,777,221,40,0
39,203,26,15,117,44,200,163,21,32,1
54,200,777,157,113,77,163,18,67,888,1
58,163,157,429,50,84,246,142,147,235,1
41,77,112,29,497,86,163,84,429,111,1
114,203,50,15,412,266,64,34,429,111,1
79,59,30,51,427,34,254,517,29,117,1
516,106,34,119,526,19,104,84,15,117,0
113,62,112,523,16,58,48,34,81,235,1
10,421,34,15,117,86,107,7,51,43,0
98,76,34,221,117,126,30,84,15,37,1
114,64,103,157,350,58,254,34,236,267,1
79,234,134,157,235,34,120,517,236,267,0
58,76,875,21,555,34,107,103,51,25,1
238,200,55,58,555,34,121,157,498,427,0
40,254,84,96,117,266,234,34,18,267,1
2,34,67,429,555,54,103,254,895,497,1
777,121,34,96,111,74,78,99,15,888,0
150,234,34,119,350,113,421,103,895,37,1
24,77,7,15,350,122,48,34,51,43,1
113,122,103,18,89,34,163,246,15,111,1
34,59,163,895,117,48,238,157,74,555,1
34,254,517,15,432,126,200,69,29,43,0
266,254,7,145,111,85,48,34,236,267,1
34,62,517,40,202,268,59,84,110,111,0
266,131,147,18,32,114,62,55,236,888,0
114,203,517,18,350,86,64,268,67,37,1
41,141,112,236,350,58,80,69,221,267,1
24,200,4,18,53,77,2,221,43,497,1
6,72,777,221,888,80,114,61,15,43,0
24,30,238,202,40,266,254,8,15,497,0
266,234,103,429,32,77,112,91,15,117,1
41,91,90,29,117,80,234,112,15,143,1
77,91,38,15,350,266,254,517,29,117,1
150,20,112,360,111,80,77,777,236,12,0
887,203,61,145,111,36,104,112,119,875,0
84,234,45,15,117,54,64,42,53,360,1
92,131,75,29,117,14,203,27,221,43,0
24,64,103,119,29,122,91,163,30,267,1
84,200,101,15,350,2,64,8,429,89,1
85,62,22,245,117,80,76,268,119,235,0
19,48,69,429,235,126,91,517,15,117,1
126,141,103,119,412,266,64,268,711,497,1
777,9,39,119,223,54,141,58,235,147,0
711,91,78,236,412,107,15,24,7,267,1
516,62,75,15,117,238,48,8,235,147,1
2,62,3,67,147,266,203,103,15,30,1
517,48,268,202,12,58,876,18,15,40,1
517,203,113,15,89,8,48,238,222,201,0
266,234,38,119,20,58,35,7,81,43,1
14,154,38,360,888,875,234,84,236,267,1
266,234,38,895,40,85,200,115,15,117,1
54,111,163,221,62,83,203,517,429,888,0
122,60,517,15,497,266,48,8,236,350,0
266,234,517,523,888,98,203,84,15,117,0
58,104,517,21,43,98,59,7,81,40,0
23,234,8,29,117,26,62,517,221,350,1
41,104,8,221,235,102,141,91,50,43,0
92,59,517,235,74,164,11,360,43,111,0
41,131,26,157,12,84,78,517,360,555,0
23,234,8,523,117,74,2,84,236,267,1
114,517,8,81,497,266,91,112,429,89,0
84,59,517,29,26,92,234,134,50,235,1
102,48,517,523,117,23,254,103,15,432,1
150,107,245,147,111,58,131,157,523,22,1
58,72,517,145,53,2,104,103,498,117,1
113,200,245,429,32,157,154,112,18,63,0
86,59,84,29,117,887,876,238,498,37,0
85,876,777,360,12,39,20,84,15,37,0
62,30,777,21,432,266,141,110,101,223,1
54,141,10,429,111,23,35,157,27,44,0
83,64,127,157,497,24,141,3,202,888,0
266,234,103,119,40,98,200,112,147,432,1
2,104,112,21,16,58,64,74,84,555,0
54,104,142,15,117,131,24,157,145,111,1
113,131,246,15,350,150,58,69,29,117,0
238,28,777,429,526,58,48,84,119,37,1
114,234,112,221,40,887,28,777,360,111,0
27,28,777,523,201,98,876,91,15,497,0
79,234,711,15,21,68,103,121,360,888,0
166,78,268,429,32,85,28,777,15,412,1
55,234,69,246,267,157,121,517,81,43,1
98,104,163,202,40,246,245,517,222,117,0
887,2,69,429,888,85,78,268,21,432,0
36,131,75,110,40,122,200,245,221,432,1
1,200,777,50,432,24,163,18,236,267,1
24,141,7,15,350,1,77,157,202,555,1
1,202,91,103,12,266,200,157,360,53,1
77,234,157,18,555,122,91,245,236,432,1
77,131,81,523,117,266,60,157,429,888,1
24,64,163,15,43,234,80,268,51,412,1
2,131,238,67,40,84,113,157,15,117,1
1,48,112,221,266,164,20,268,15,43,1
266,62,103,51,40,86,48,517,15,350,0
2,33,161,145,497,84,254,103,360,555,1
39,35,103,81,48,266,141,517,523,43,1
58,62,103,202,32,266,107,268,51,99,1
266,56,84,18,26,150,200,7,15,43,1
86,141,147,119,37,114,64,84,30,555,1
39,121,134,236,350,86,234,84,429,497,1
14,154,517,202,267,161,121,157,122,74,1
875,68,246,222,117,1,254,112,29,40,1
1,2,517,15,555,98,131,91,222,117,0
86,59,103,15,432,24,77,147,29,40,1
516,234,43,15,888,1,64,517,96,117,1
58,421,266,523,43,875,104,55,15,32,0
85,48,517,96,117,36,77,268,29,16,1
79,203,268,523,432,150,245,77,119,43,0
85,120,517,29,43,164,28,236,15,111,1
266,104,68,51,888,114,131,166,15,117,1
14,80,103,221,40,154,11,4,145,111,0
113,131,246,15,350,150,58,69,29,117,0
58,200,517,523,888,133,254,68,202,26,1
113,64,163,523,888,58,254,112,236,267,0
240,254,777,74,267,58,163,157,119,25,0
150,78,711,21,43,122,30,103,81,235,0
122,254,50,29,117,58,76,163,15,32,0
79,203,163,429,89,82,200,15,96,350,0
24,60,84,18,12,58,20,517,429,25,1
84,62,777,29,888,24,163,517,18,111,1
122,64,711,429,111,19,78,45,81,43,1
102,107,517,221,40,164,238,27,15,22,0
516,141,711,429,111,92,60,163,22,43,0
58,60,84,523,117,266,30,777,29,888,0
122,246,84,81,147,516,234,127,221,43,1
266,78,163,29,350,150,234,85,18,117,0
58,203,85,30,111,887,254,7,145,875,0
266,20,163,15,497,2,72,85,429,888,1
266,2,85,221,432,44,200,516,15,235,0
113,121,61,29,43,114,254,84,15,518,0
133,234,518,81,43,85,80,61,15,235,0
85,62,115,21,497,2,76,101,119,40,1
85,20,246,221,50,58,76,517,29,888,1
102,254,711,145,111,85,64,517,119,555,1
58,79,518,29,117,85,11,163,15,16,1
157,91,711,21,32,85,30,895,360,888,0
266,203,517,523,497,85,62,112,15,117,0
68,234,222,61,16,24,246,85,15,117,1
54,77,55,81,432,166,234,85,101,427,0
2,163,85,51,111,254,238,112,429,53,0
420,203,112,29,412,14,62,85,202,30,1
58,76,517,429,12,516,254,85,15,888,0
164,245,427,523,40,122,203,518,15,117,1
85,5,43,96,117,266,141,163,202,555,0
516,234,517,15,117,85,59,84,29,16,0
92,200,163,360,12,79,72,157,147,235,0
78,91,4,875,117,58,62,84,18,113,0
98,62,84,15,350,150,154,8,145,497,0
79,131,157,236,40,80,33,84,15,267,0
777,200,3,15,350,122,254,517,29,37,0
85,234,43,15,117,516,30,238,523,37,1
777,64,50,15,350,79,80,517,18,117,1
85,48,43,119,888,266,268,21,78,267,0
84,106,42,51,235,67,64,711,147,111,1
67,35,517,18,142,58,254,7,15,497,1
516,35,50,202,40,92,62,1,81,43,0
92,76,517,51,43,98,254,69,78,50,1
58,91,101,147,43,150,121,39,115,350,0
84,203,13,21,101,266,163,75,51,99,1
23,62,268,221,555,113,234,163,523,79,1
2,78,103,429,888,24,48,7,236,432,0
58,76,268,221,888,266,254,103,360,111,1
64,121,84,429,432,516,234,268,236,267,0
777,91,7,498,497,79,154,127,895,117,1
266,104,127,81,26,85,141,7,29,40,1
122,62,103,119,432,266,113,55,523,111,1
98,254,7,145,497,114,76,127,119,111,1
23,20,8,145,555,54,254,30,18,497,1
122,238,103,81,143,777,234,115,145,142,1
113,120,13,15,497,126,48,517,29,888,1
80,234,34,429,32,84,77,81,51,25,0
266,59,163,119,888,58,234,517,222,40,1
223,62,7,360,111,92,76,238,81,57,1
67,77,69,145,111,266,91,61,523,26,1
104,60,517,119,40,58,29,4,18,235,1
98,141,711,119,53,58,59,50,429,111,0
98,141,711,119,53,58,59,50,429,111,0
518,64,85,895,497,113,131,91,523,412,0
126,28,777,145,12,79,77,238,523,111,0
266,141,517,145,111,58,56,4,18,40,0
2,254,13,360,143,77,9,34,236,267,0
164,203,127,15,432,150,246,68,22,117,0
58,131,84,15,43,895,254,115,29,111,1
24,78,84,895,40,777,60,115,236,267,0
8,238,268,15,111,150,59,245,29,497,1
150,234,3,81,99,98,104,79,145,32,0
77,91,163,360,53,84,203,43,221,111,0
85,254,157,498,497,79,876,777,145,555,1
92,200,268,81,350,122,62,103,360,427,0
350,113,777,29,38,122,64,55,523,432,1
98,234,84,221,43,79,68,157,895,117,1
98,91,103,119,235,266,254,84,15,350,0
24,62,61,360,43,777,91,517,236,267,0
58,78,99,15,497,106,48,221,61,555,1
114,104,161,29,40,27,102,103,15,117,0
79,203,268,221,350,24,30,43,360,40,1
26,141,55,222,40,98,421,50,236,267,1
58,2,50,147,235,421,77,777,111,30,0
516,234,69,360,111,58,131,157,895,117,1
266,234,50,15,40,114,203,103,145,12,1
246,234,711,15,43,777,64,238,147,142,0
79,59,517,15,111,122,33,134,429,888,0
79,203,163,110,26,516,246,517,221,888,0
85,64,268,15,117,517,78,163,429,12,1
266,421,7,221,888,114,59,517,15,37,0
166,113,163,51,43,266,200,103,15,432,0
119,28,777,29,16,122,203,43,360,111,0
122,141,268,221,89,85,154,777,18,53,0
114,517,141,22,497,58,107,38,523,888,1
77,104,101,21,25,122,45,141,523,53,1
92,76,103,360,16,166,141,134,29,40,0
141,200,84,523,201,85,104,134,119,111,1
266,2,85,221,432,44,200,516,15,235,0
516,76,99,145,555,79,141,517,18,53,1
432,154,61,145,888,39,141,517,235,40,1
41,121,103,51,43,39,141,268,22,427,1
266,141,711,15,412,80,78,517,51,43,0
58,48,99,15,117,85,121,517,221,497,1
39,141,112,15,117,122,62,517,51,350,0
266,131,141,429,888,79,59,516,81,44,0
164,876,103,15,43,79,62,711,51,99,1
79,200,103,523,117,2,427,163,119,555,0
150,200,103,119,555,58,78,147,360,267,1
54,234,68,15,888,150,141,50,22,26,1
75,876,777,895,555,39,72,112,21,43,0
58,154,134,429,201,240,141,268,221,26,0
777,234,9,15,432,266,80,84,51,99,0
875,104,127,221,117,777,876,26,157,12,0
777,234,7,147,111,39,254,142,236,267,0
777,59,103,29,26,44,254,711,15,350,1
114,20,91,15,117,266,246,43,221,497,1
266,234,711,96,117,114,421,7,15,497,1
114,35,38,29,40,266,246,103,360,32,0
266,48,268,18,117,85,254,238,360,32,1
164,62,268,29,117,79,234,157,103,497,1
85,48,777,29,497,875,517,91,221,235,0
85,203,238,145,12,114,121,105,15,26,0
240,163,84,110,267,266,62,517,202,12,1
114,80,84,202,12,39,200,268,15,142,1
74,246,30,202,111,83,238,268,236,267,0
122,64,85,429,111,83,91,110,29,432,1
114,64,55,15,3,80,421,516,163,12,0
39,203,26,15,117,44,200,163,21,32,1
122,77,777,50,235,86,62,517,15,350,0
114,30,238,51,99,164,131,39,15,37,1
150,154,74,222,40,777,113,103,29,235,0
58,78,7,29,40,266,200,103,110,432,1
24,112,200,15,555,114,48,84,51,888,0
266,203,517,236,267,85,62,163,119,888,1
85,62,777,119,26,58,113,268,202,50,0
266,113,268,51,143,114,200,127,119,888,1
164,246,103,119,427,150,64,134,360,111,1
58,131,517,15,888,85,203,238,18,555,1
114,77,39,147,37,24,35,517,29,117,1
114,163,157,81,888,84,777,113,15,267,0
876,62,268,236,267,2,113,3,429,16,1
58,104,74,15,888,85,43,777,18,254,1
114,76,360,157,154,266,246,84,202,40,0
79,62,157,96,117,266,141,43,15,7,0
36,254,517,429,888,266,104,103,15,57,1
2,62,245,147,40,58,76,777,15,888,0
76,266,777,15,888,114,62,99,45,235,0
58,200,3,147,12,114,2,112,15,432,0
114,113,42,81,43,254,888,103,360,24,0
39,254,84,236,267,92,104,517,202,497,0
84,113,56,15,888,266,48,43,18,117,0
58,200,163,236,267,266,254,7,15,40,0
266,200,50,221,350,122,77,84,429,111,1
39,121,134,236,350,86,234,84,429,497,1
266,254,711,51,497,114,147,91,15,111,1
113,254,7,360,89,2,78,101,29,350,1
114,131,157,74,37,777,120,268,51,350,0
92,200,268,81,350,122,62,103,360,427,0
777,62,45,523,16,266,48,43,236,267,0
122,234,55,15,117,223,64,517,236,267,0
14,203,268,22,117,113,72,8,29,40,0
80,517,112,236,267,2,163,777,221,43,1
516,64,69,145,555,92,245,777,523,888,0
516,20,39,21,16,67,77,142,523,888,0
23,254,55,360,12,79,163,777,18,117,1
122,72,161,119,26,516,103,245,18,497,1
98,60,245,29,350,24,234,38,221,117,0
777,113,163,221,117,86,3,59,523,412,1
114,104,7,15,117,98,9,517,29,89,0
266,254,30,360,80,41,64,268,221,117,1
